Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
sembahyang adopsi tradisi lokal kerja lahir tradisi tunggal sembah all,0,0,0,0,0,0,0,0,0,0,0,0
kau dik bodohgk larang bawa agamabiar orang islam yg bayar ahok sadar gk milih ahok gla,1,1,1,0,0,0,0,0,1,1,0,0
btp the best abai kaum kampret otak micin,1,1,0,1,0,0,0,0,1,0,1,0
sih otak tempurung ladenin smkn lawan bloon dungu makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
awaasss jgn berita saudara gerung ntar susah cari kosakatany bocor picing mata bibir monyong samping suara ky nhn kentut politik kotor zaman klu brt plng ky nhn ngedendungu,1,1,1,0,0,0,1,0,0,1,0,0
pinokio umur tahun tuh,1,0,1,0,0,0,0,0,1,1,0,0
cerita silat lae kho ping hoo indonesia liang ie shen tulis china,0,0,0,0,0,0,0,0,0,0,0,0
benci umat islam,1,0,0,1,1,0,0,0,0,0,1,0
provokasi mayat politisasi agama sebab kalah pilih kepala daerah dki cebong deskripsi kalah junjung fyi ahok pilih apa kec wakil etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
gue nete,0,1,0,0,0,0,0,0,0,0,0,0
lol bani lowo,1,1,0,1,0,0,0,0,1,0,1,0
takabur lahir kuasa rakyat ulama cendikia iblis makhluk alim amp ibadah atus ratus laknat hasud takabburnya ahli ilmu filsafat failosof mari demo sendi,0,0,0,0,0,0,0,0,0,0,0,0
a orang suka konserkonser boros,0,0,0,0,0,0,0,0,0,0,0,0
ulama hukum rokok mubah juga,0,0,0,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden ri khofifah emil masyarakat no baguss,0,0,0,0,0,0,0,0,0,0,0,0
kali gue gemar korea pop omong teman teman gue idol gue banci homo,1,1,1,0,0,0,0,1,0,1,0,0
suka video kisah seteru haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
budaya kafir sungguh islam diendahkan,0,0,0,0,0,0,0,0,0,0,0,0
lahm hem diam bisunkita coba rumput goyang,0,0,0,0,0,0,0,0,0,0,0,0
setan bisik waswas kepada minta lindung allah qs fushilat,0,0,0,0,0,0,0,0,0,0,0,0
klw atheisngapain sibuk agama orang,0,0,0,0,0,0,0,0,0,0,0,0
lengser jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1
selamat kartini,0,0,0,0,0,0,0,0,0,0,0,0
bajing anak anak kamar mandi biar,1,1,1,0,0,0,0,1,0,1,0,0
iya cocot,1,1,1,0,0,0,0,0,1,1,0,0
budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
ajar solata orang asing pecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
x lo bicara bangke,1,1,1,0,0,0,0,0,1,1,0,0
percaya negara jajah ranah bubar sistem sistem beraja negara jadi negara republik komunis negara negara jaja,0,0,0,0,0,0,0,0,0,0,0,0
nikmat bijak usul pki iya opo,1,0,0,1,0,1,0,0,0,0,1,0
kalo umpama orang cina usir paksa indonesia,1,0,0,1,0,1,0,0,0,0,1,0
bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0
cina babi cina malingnusirchina,1,1,0,1,0,1,0,0,0,0,0,1
karno anti asing beliau jawa coba deh adakan konsensus jawa anti asing pro asing keboohannya nnkalau keliru tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
proyek korupsi rezim sby,1,0,1,0,0,0,0,0,1,1,0,0
wajar lihat tingkah petinggi negeri suka campur bahas indonesia bahas asing kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
ab pribadi senang kompetisi positif,0,0,0,0,0,0,0,0,0,0,0,0
kitab suci agama bilang om mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0
suka tutup mata kaga tutup tutup gara gara sipit,0,0,0,0,0,0,0,0,0,0,0,0
sy muslim nista kitab suci alquran alquran suku detik makna faktual umat islam makna sirat fiksi,0,0,0,0,0,0,0,0,0,0,0,0
eh kasar kampang,1,1,1,0,0,0,0,0,1,1,0,0
bentar gua rilis album the ontas wkwkwkwkwk,0,0,0,0,0,0,0,0,0,0,0,0
cebong bang,1,1,1,0,0,0,0,0,1,1,0,0
najis banget gue mentwit barusan wey,0,1,0,0,0,0,0,0,0,0,0,0
transgender anjing,1,1,1,0,0,0,0,1,0,1,0,0
awas bintit intip titit kucing,0,1,0,0,0,0,0,0,0,0,0,0
bawel baper bolot bodor wkwk ya deh,0,1,0,0,0,0,0,0,0,0,0,0
gue saran bacot maling ayat langsung to the point orang yg paham riak kafir sesat liberal puja dukun bla blaaa hati puas deh,1,1,1,0,1,0,0,0,0,1,0,0
jgn salah target ahok agenda utama lengser jokowi,1,0,1,0,0,0,0,0,1,0,0,1
kena tagar panas kepo banget,1,0,1,0,0,0,0,0,1,1,0,0
maju duit goyang kaki pape duit nak maju kat bodoh,0,1,0,0,0,0,0,0,0,0,0,0
hkbp diri pecah kristen katolik zaman jajah belandadl nama kristen protestan kristen khatoliknterjadilah pecah diri hkbp kali tarutungnnnah k,0,0,0,0,0,0,0,0,0,0,0,0
ha baca biar pintar jepang amerika china utang tau,0,0,0,0,0,0,0,0,0,0,0,0
prabowo kalah sebut bantu jokowi citra ratap pilu,1,0,1,0,0,0,0,0,1,1,0,0
takut azan iblis,0,0,0,0,0,0,0,0,0,0,0,0
yg goblok bani cebong tukang tipu jilat kuasa tahu gera bayar pakai nasi bungkus propaganda nasi bungkus gagal,1,1,0,1,0,0,0,0,1,0,1,0
wuih cebong,1,1,1,0,0,0,0,0,1,1,0,0
gera tekan kerja keras total tingkat potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
gubernur djarot mayoritas partai politik dprd dukung ahok djarot payah ya,1,0,1,0,0,0,0,0,1,1,0,0
rezim rusak baik sistem sibuk cari cari salah ketemu aja kpk alat besok perintah ganti ulang engah selesai organisasi orang,0,0,0,0,0,0,0,0,0,0,0,0
orang orang tuding antek aseng asing sungguh tepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
anti aseng,0,0,0,0,0,0,0,0,0,0,0,0
selamat moga kiprah tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
sih ulama,0,0,0,0,0,0,0,0,0,0,0,0
tahu ketapang tenaga kerja asing asing usaha pt who tambang bauksit viral pilih presiden ndan kerja era gubernur cornelis wakil,0,0,0,0,0,0,0,0,0,0,0,0
anak pecun hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
que bom sbbsnsn,0,0,0,0,0,0,0,0,0,0,0,0
istirahat presiden momentum saksi telinga mata rapat bentuk pd pacitan,0,0,0,0,0,0,0,0,0,0,0,0
house select committee on assassinations hsca temu cacat investigasi fbi warren commission hsca simpul tembak konspirasi dalam,0,0,0,0,0,0,0,0,0,0,0,0
genap april gelar hajat pilpres acara tahun negara indonesia pilih presiden moga senantiasa jalan aman lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
ngakunya orang pintar agama memang agama boleh nista hujat orang jgnkan orang bodoh orang maaf lahir idiot harga cipta tuhan iblis pintar licik,0,1,0,0,0,0,0,0,0,0,0,0
daftar capres buka agustus normatif politikus pdip paham,1,0,0,1,0,0,0,0,1,0,1,0
si tolol tau perintah rezim komunis bobrok koruptor pimpin sidang dpr paya cebong,1,1,1,0,0,1,0,0,0,1,0,0
gue mantan mantan gue sedih pikir tidur lohh gue anak berengsek laki laki,0,1,0,0,0,0,0,0,0,0,0,0
cina usak bangsa usir stuju,1,0,0,1,0,1,0,0,0,0,0,1
konstitusional hak rakyat woiii gin nih plonga plongo laku otoriter,1,1,1,0,0,0,0,0,1,1,0,0
mari wujud pilkada kota bengkulu aman damai ,0,0,0,0,0,0,0,0,0,0,0,0
serius presiden jokowi islam nusantaraknp kristen nusantarabudhahindu kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
korsa nyata moeldoko bukti istana takut bangkit umat islam,0,0,0,0,0,0,0,0,0,0,0,0
cowok jago drasex ngentot adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
kroasia kafir tauuungapain ajar kapirudh lupa kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
nya menteri soeharto homo,1,1,1,0,0,0,0,1,0,1,0,0
gue tau culun takut orang ubah perlahan lahan buruk,0,0,0,0,0,0,0,0,0,0,0,0
perang salib raja afrika bagi babilonia peluk kristen tobaco peluk islam,0,0,0,0,0,0,0,0,0,0,0,0
kejar setor bangsad rupiah turun,1,1,1,0,0,0,0,0,1,1,0,0
moga tindak lapor nista agama ade armando langsung ketua fpi kh shobri lubis bareskrim mabes polri gambir jakarta pusat selasa wib perhaps,1,0,1,0,1,0,0,0,0,1,0,0
bangke hajar,1,1,1,0,0,0,0,0,1,0,0,1
nonta mati banyak minum,1,0,0,1,0,0,0,0,1,0,1,0
ahok tng waswas hidup,1,0,1,0,0,0,0,0,1,1,0,0
sul teng ekses akibat sandera hutang cina,1,0,1,0,0,0,0,0,1,1,0,0
pride yunani keangkuhanharga dirikesombonganndikenal sebut hubrisvanity harga ubah manusia sombong sombong manusia kutuk mata tuhandan manusia cinta,0,0,0,0,0,0,0,0,0,0,0,0
tuju hatinlogikaku ntapi hati tenangnaku logika nhatiku sedih nku cari wasiat beliau tinggal ndan asing asing mata manusia ntak duhai,0,0,0,0,0,0,0,0,0,0,0,0
taji nya komisi berantas korupsi era initapi era komitmen berantas korupsi surat pemberitahuan tahun era sby,1,0,0,1,0,0,0,0,1,0,1,0
admin tolol partai tololnpartai tolol orang tolol,1,1,0,1,0,0,0,0,1,0,1,0
ayu ting ting goyang hot raffi ahmad nagita slavina kampung norak,0,1,0,0,0,0,0,0,0,0,0,0
video tka malaysia kutip nyata,0,0,0,0,0,0,0,0,0,0,0,0
ppp buruburu tolak wacana pilkada lewat dprd,0,0,0,0,0,0,0,0,0,0,0,0
random pagi pagi samper meja kerja pake bedak sih biar muka bersih istri butek soalnyaningin ku pakai air wudhu ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
ko gua kampret,0,1,0,0,0,0,0,0,0,0,0,0
memek lonte sodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
jokowi mundur tutup,1,0,1,0,0,0,0,0,1,1,0,0
ngomong itumulut bancibeli kaca lihat diri broo,1,1,1,0,0,0,0,1,0,1,0,0
amin rasisnada daninada ratna sih paiiitnada sih ontanada sih lobang anusnjdi takut oi wonkehabisan obat tenang yh,1,1,1,0,0,0,0,0,1,1,0,0
tunggu komando imam bejat cabul taik beer bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
kabinet beranta npemecah belah satu rezim,1,0,0,1,0,0,0,0,1,0,1,0
dih ngaku pintar orang politik ngaca woyy tampang orang bego ckakakakak,1,1,1,0,0,0,1,0,0,1,0,0
pdiperjuanganmenang tekan usaha tambang target proyek impossible lelang murah antek cina ntb contoh pdip menang dasar bajing,1,1,0,1,0,0,0,0,1,0,1,0
percaya mulut buaya mu bwang,1,1,1,0,0,0,0,0,1,1,0,0
sby prabowo satu lawan mega jokowi peristiwa ulang mana pdip incumbent kalah mutlak sby tp jkwmegasby lawan prabowo mk pilpres selesai jk poros pilpres mk salah lawan,0,0,0,0,0,0,0,0,0,0,0,0
kayak banci kaleng gatot gaduh gentleman mundur saing pilih presiden lawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
bebal,0,0,0,0,0,0,0,0,0,0,0,0
indonesia negara populasi muslim besar dunia islam musuh barat amp komunis hambat agenda penting merekaobviously,0,0,0,0,0,0,0,0,0,0,0,0
umuh gt persibnpersib,1,1,0,1,0,0,0,0,1,0,1,0
film muslim pilih ahok mati sholatin jamin laris,1,0,1,0,0,0,0,0,1,1,0,0
banu banu yahudi beda banu banu kristen syriac salah beda banu yahudi pakai eloah elohim yahwe syriac pakai alah allah,0,0,0,0,0,0,0,0,0,0,0,0
eh muka merah merah tu cendol setan cuaca nih panas,0,1,0,0,0,0,0,0,0,0,0,0
berita saracen diframing katak akan tim prabowo aniessandi seberulnya media tumpah sakit hati katak cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0
giat bhabinkamtibmas brigpol mbs sihombing rabu april laksana sambang desa tatap muka pantau kamtibmas pilkada desa lobusiregar i tepat rumah rudi panjaitan helm siahaan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
syg banget ya perempuan kayak gin gak status tempel lakilaki haduhnnagita slavina blakblakan ayu ting ting kampung viva,0,1,0,0,0,0,0,0,0,0,0,0
jgn lupa kang umat katolik minoritas diperhatika gubernur golong golong,0,0,0,0,0,0,0,0,0,0,0,0
cebong bilang kemarin ngeyelnsitu paksa cebong,1,1,1,0,0,0,0,0,1,1,0,0
lemah gerindra orang iniprabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahun durno,1,1,1,0,0,0,0,0,1,1,0,0
selamat kartini kali raya makna kali ,0,0,0,0,0,0,0,0,0,0,0,0
foto bisu tpi milik arti susah diartikansma susah diartikanmau putus,0,0,0,0,0,0,0,0,0,0,0,0
wkwk alam muncul grub wa an bani abd had aka mbah mek kenal orang,0,0,0,0,0,0,0,0,0,0,0,0
ayah pres badar nuqaba boekkk nih hebat bidang agama x takut natural killer tegur member sndiri lawak hambar yg lawak orang jom gerak gera badan chubby tu,0,0,0,0,0,0,0,0,0,0,0,0
orang anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allahyarham tun abdul razak ds malaysiamemilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
hahaha sialaaan nih sih laper presiden sikat doi,0,0,0,0,0,0,0,0,0,0,0,0
nasihat kali ugal ugalan nih rezim eh negeri keburu ancornah ekonomi moral marit kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
alah silit kebeler dikasianin orang sayang paknsetelah media sosial gue sadar instansi kemarinntar gue ceritain duuuhhh,0,1,0,0,0,0,0,0,0,0,0,0
iya cacad,0,0,0,0,0,0,0,0,0,0,0,0
rakyat makan aspal beton solusi jitu kurang miskin ahli cebong tukang tipu cebong gitu goblok ketulungan plonga plongo akibat optimisme,1,1,0,1,0,0,0,0,1,0,1,0
baca harun yahya belot kubu yahudi freemasonry nyakdg suka percaya,0,0,0,0,0,0,0,0,0,0,0,0
maju ulama gerak tokoh agama indonesia nderekgusmus,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
mukidikepedean mudah ya keras keras nama,0,0,0,0,0,0,0,0,0,0,0,0
kemarin hujat harap dasar bani kamprey,1,1,0,1,0,0,0,0,1,0,1,0
jelas fitnah sila ban apollinaris darmawan alquran kitab sampah,1,1,0,1,1,0,0,0,0,0,1,0
monyet koloe bilang saudara ogah hidup ya toe hati comberan,1,1,1,0,0,0,0,0,1,1,0,0
body lufra scrub bahan dasar lidah buaya melembabkan kulit amp cahaya info bmi,0,0,0,0,0,0,0,0,0,0,0,0
cacat masa,0,0,0,0,0,0,0,0,0,0,0,0
anut bumi datar teori bumi bulat orang asing notabene musuh,0,0,0,0,0,0,0,0,0,0,0,0
becak warga binjai sita tenda tulis pks radang bukti perintah panik takut,1,0,0,1,0,0,0,0,1,0,1,0
jokowi mundur,1,0,1,0,0,0,0,0,1,1,0,0
munas alim ulama ppp semarang hasil rekomendasi syarat kriteriakriteria calon wakil presiden damping bpk jokowi romahurmuziy,0,0,0,0,0,0,0,0,0,0,0,0
cerah nya gagal anak ekonomi wkwk,0,0,0,0,0,0,0,0,0,0,0,0
kafan asal budaya yahudi umat islam klaim,0,0,0,0,0,0,0,0,0,0,0,0
rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1,0,0,1,1,1,0,0,0,0,1,0
tanda nya pilih kepala daerah pilih presiden,0,0,0,0,0,0,0,0,0,0,0,0
bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur,0,0,0,0,0,0,0,0,0,0,0,0
tabah pasang en taufiq puan niyana wajar contoh jom sumbang ringan beban pasang come on twitter do your things bsn bank islam niyana bosan abdul raziff,0,0,0,0,0,0,0,0,0,0,0,0
apaansi tai doang belaganya langit ga karma ntar idol flop gue tertawa keras,1,1,1,0,0,0,0,0,1,1,0,0
celeng kangen gue y,0,1,0,0,0,0,0,0,0,0,0,0
teranginegeri budaya yuk unjung purwokerto mumpung even rakyat purwokerto extravaganzabanyumas,0,0,0,0,0,0,0,0,0,0,0,0
presiden dana taktis penting rakyat program program perintah program bangun infrastruktur kip kis sertifikat tanah hutan sosial bbm harga padat karya,0,0,0,0,0,0,0,0,0,0,0,0
aamiin ya allah ntimnya kan latih ular rawarawa dapat sungai gede musuh buaya wkwkw,0,0,0,0,0,0,0,0,0,0,0,0
maju ngatain mama bolot,1,1,1,0,0,0,0,0,1,1,0,0
grombolan kadal jidat gosongmmg bgtu suka ribut gerombol salah pura pura budekdasar grombolan cingkrang,1,1,0,1,0,0,1,0,0,0,1,0
segitu gentar takut,0,0,0,0,0,0,0,0,0,0,0,0
saracen akun kritis anggap saracen aneh jokowi,1,0,1,0,0,0,0,0,1,1,0,0
bego teman gue najis kesal gue,1,1,1,0,0,0,0,0,1,1,0,0
kafir kristen ulah,1,1,0,1,1,0,0,0,0,0,1,0
tau bau bau cir sipit buluq,1,1,1,0,0,1,0,0,0,1,0,0
kayak pegang mucikari,0,0,0,0,0,0,0,0,0,0,0,0
guru tk dharma wanita satu desa plumbon porong deklarasi anti hoax ujar benci isu sarah dukung pilih kepala daerah damai,0,0,0,0,0,0,0,0,0,0,0,0
anjir seram main begitu,0,1,0,0,0,0,0,0,0,0,0,0
kayak bank bilang jual uang asingtukar rupiah,0,0,0,0,0,0,0,0,0,0,0,0
onta yaman ninnsetahun gue deportasi loe,1,1,1,0,0,0,0,0,1,0,0,1
hatihati berita pilkada bau hoax madiun madiuntoday kotakarismatikmadiun tolakcukaiilegal kunjung,0,0,0,0,0,0,0,0,0,0,0,0
anak cocot ya,1,1,1,0,0,0,0,0,1,1,0,0
tahu hoax ya fahri ambil berita tuyg baru tong sampah ambil ss tau berita,1,0,1,0,0,0,0,0,1,1,0,0
mantaaap dm banser bang,0,0,0,0,0,0,0,0,0,0,0,0
lebah suka bunga makan bangkai gue penasaran madu nya kayak,0,0,0,0,0,0,0,0,0,0,0,0
indonesia mundur bentuk,1,0,1,0,0,0,0,0,1,1,0,0
naahh dongok bilang hacker hahaha,0,1,0,0,0,0,0,0,0,0,0,0
hahahaha blunder cebong yg pem pusat alas ham rakyat aceh ya kali cobak datang perintah bilang suruh hukum islam kaffah aceh klau dpr a,1,1,1,0,0,0,0,0,1,1,0,0
bangsad gua dah nyelem ampe lgi,0,1,0,0,0,0,0,0,0,0,0,0
dipancingpancing urus nista bicara paham fiksi kitab suci,0,0,0,0,0,0,0,0,0,0,0,0
cebong kacung teman gue dungu tulang buang buang energi debat,1,1,0,1,0,0,0,0,1,0,1,0
partai korupsi sapigoblog,1,1,0,1,0,0,0,0,1,0,1,0
signal kontol pelihara niat sih login twitter doang susah open redtube cetan,1,1,0,1,0,0,0,1,0,0,1,0
matane kafir wkwkwk,0,0,0,0,0,0,0,0,0,0,0,0
facebook anjir lupa,0,1,0,0,0,0,0,0,0,0,0,0
sih bilang hilih kntl,0,1,0,0,0,0,0,0,0,0,0,0
nikita mirzani pakai hijab bicara cebang cebong fantasi bom uh ah cokorers,1,1,1,0,0,0,0,0,1,1,0,0
tatap alih arah enggan tatap pria curiga lagipula kali gaduh suasana angie temu pria asing tidur sofa jadi,0,0,0,0,0,0,0,0,0,0,0,0
lahir kembang gera komunis indonesia pisah organisasi nama isdv,0,0,0,0,0,0,0,0,0,0,0,0
shaheizy sam wajah baharu calpis,0,0,0,0,0,0,0,0,0,0,0,0
ya serah aja balas fokus kerja tugas proyek seni budaya telah langsung kumpul presentasi syukur nilai muas jadi proyek,0,0,0,0,0,0,0,0,0,0,0,0
ga bro,0,0,0,0,0,0,0,0,0,0,0,0
laku bodoh masuk kategori buat menyenangkannnkelakuan sontoloyo menganggu satu bangsannkelakuan naif langsung bentuk intimidasi ulamannkelakuan,1,1,1,0,0,0,0,0,1,1,0,0
monyet turun mukim warga cibadak sukabumi,0,0,0,0,0,0,0,0,0,0,0,0
kotor bahagia warga cebong ngerti,1,1,0,1,0,0,0,0,1,0,1,0
giveaway taplak meja menang therichchenle,0,0,0,0,0,0,0,0,0,0,0,0
buka busuk kubu anies sandi menang berkah prabowo usaha cuci tangan,1,0,0,1,0,0,0,0,1,0,1,0
wkwkwkwk bodo bang,0,1,0,0,0,0,0,0,0,0,0,0
bik kaya orang begobro tapimemangbego,1,1,1,0,0,0,0,0,1,1,0,0
klhk upaya perata ekonomi tora kawasan hutan hutan sosial tribun medan,0,0,0,0,0,0,0,0,0,0,0,0
mahfud md paling allah swt berang bangsa ajak buang islam,1,1,0,1,1,0,0,0,0,0,0,1
bego banyak minum amp makan kotor onta otak nya somplak,1,1,1,0,0,0,0,0,1,1,0,0
kuak strategi kampanye tim menang anies sandi,1,0,1,0,0,0,0,0,1,1,0,0
warga baduy selesai ingat tradisi seba pendopo pemkab lebak lanjut temu gubernur banten wahidin halim sabtu,0,0,0,0,0,0,0,0,0,0,0,0
antikorupsi bubar sentuh kuasa gilir kpk pdip partai politik kuasa pulang otot bubar kpk,1,0,0,1,0,0,0,0,1,0,1,0
mas sudut salah agama bahayaitulah rocky cerdik susun kalimat amppantas dgunakaninti kasih tau erti fiksi sbenarnyaayolah mas nya i,0,0,0,0,0,0,0,0,0,0,0,0
dukung capres gagal move on sibuk urus aseng bawa kabur uang rp t sadar aseng kabur bawa uang dukung pribumi asu mustahil aseng pribumi diam sogok mental kacung emang,1,1,0,1,0,1,0,0,0,0,1,0
lo rabun budekngue tulis,1,1,1,0,0,0,1,0,0,1,0,0
bismillah tahan sepo kutuk,0,1,0,0,0,0,0,0,0,0,0,0
brahahahaaa cebong nya ngahok cebong cebok,1,1,1,0,0,0,0,0,1,1,0,0
apdet status bikin tugas tugas selesai ya jancuk mbut,0,1,0,0,0,0,0,0,0,0,0,0
muslim jabat negara tindak bangsa negara,0,0,0,0,0,0,0,0,0,0,0,0
ikan sembuh sakit selamat bagus laik jual pisah seleksi ikan cacat permanen pelihara nnkesehatanikanncc,0,0,0,0,0,0,0,0,0,0,0,0
pribumi sadar lihat kecuali samasama cina komunis misionaris abai twit usir cina indonesia,1,0,0,1,0,1,0,0,0,0,0,1
